date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:42	26676/26676	---M--	200	added ('OK')	text/html	etag:%22ac894cc65fe25c5a52ca1d8380066dfe%22	https://f0c22.yjx2012.com/	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/index.html	(from )
12:40:47	4553/4553	---M--	200	added ('OK')	image/png	etag:%22e013f774a9b500ec0d51e8a8bf671e87%22	https://f0c22.yjx2012.com/logo.png	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/logo.png	(from https://f0c22.yjx2012.com/)
12:40:48	6292276/6292276	---M--	200	added ('OK')	image/png	etag:%228e36abe55460b1e175fe67ebb3734714%22	https://f0c22.yjx2012.com/products/mouse.png	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/products/mouse.png	(from https://f0c22.yjx2012.com/)
12:40:48	32675/32675	---M-Z	200	added ('OK')	text/css	etag:%22380885f2321dea4242671fe04da863c8%22	https://f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css	(from https://f0c22.yjx2012.com/)
12:40:48	3967/3967	---M-Z	200	added ('OK')	text/javascript	etag:%22eb2665f0b9783dd0e4d40d8a426dd202%22	https://f0c22.yjx2012.com/_next/static/chunks/webpack-65bd3cb9540ee01e.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/webpack-65bd3cb9540ee01e.js	(from https://f0c22.yjx2012.com/)
12:40:48	172190/172190	---M-Z	200	added ('OK')	text/javascript	etag:%2207bed7eba1dceeeb9c638523e777f6dd%22	https://f0c22.yjx2012.com/_next/static/chunks/fd9d1056-a844682d51486e4a.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/fd9d1056-a844682d51486e4a.js	(from https://f0c22.yjx2012.com/)
12:40:48	112818/112818	---M-Z	200	added ('OK')	text/javascript	etag:%222e473f23e148cc862707c1ecd91fb586%22	https://f0c22.yjx2012.com/_next/static/chunks/69-4a8d8286260c07a7.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/69-4a8d8286260c07a7.js	(from https://f0c22.yjx2012.com/)
12:40:49	462/462	---M-Z	200	added ('OK')	text/javascript	etag:%22c6a252302711ec3aca7bb47a5d99ab78%22	https://f0c22.yjx2012.com/_next/static/chunks/main-app-bdce57fcb2f31101.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/main-app-bdce57fcb2f31101.js	(from https://f0c22.yjx2012.com/)
12:40:49	188836/188836	---M-Z	200	added ('OK')	text/javascript	etag:%22231f4b1a9435c466fef4461851d35750%22	https://f0c22.yjx2012.com/_next/static/chunks/947-59b5f1611714c46f.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/947-59b5f1611714c46f.js	(from https://f0c22.yjx2012.com/)
12:40:49	227730/227730	---M-Z	200	added ('OK')	text/javascript	etag:%228ad21ae88e0b8a514cd84bb4fe40eaaf%22	https://f0c22.yjx2012.com/_next/static/chunks/703-f4f5679290d57255.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/703-f4f5679290d57255.js	(from https://f0c22.yjx2012.com/)
12:40:49	80748/80748	---M-Z	200	added ('OK')	text/javascript	etag:%22d4fc8e94f53dbe828f80e729a2798c0d%22	https://f0c22.yjx2012.com/_next/static/chunks/app/page-2244ff2d749ca9cb.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/app/page-2244ff2d749ca9cb.js	(from https://f0c22.yjx2012.com/)
12:40:49	77217/77217	---M-Z	200	added ('OK')	text/javascript	etag:%223e2a74fb565806792570637fb80eca53%22	https://f0c22.yjx2012.com/_next/static/chunks/447-23e1431d7f23ce0a.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/447-23e1431d7f23ce0a.js	(from https://f0c22.yjx2012.com/)
12:40:50	443/443	---M-Z	200	added ('OK')	text/javascript	etag:%22b036caa4e11f4d93b911deafe45a0714%22	https://f0c22.yjx2012.com/_next/static/chunks/app/layout-92708e83c9e12c40.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/app/layout-92708e83c9e12c40.js	(from https://f0c22.yjx2012.com/)
12:40:50	51478/51478	---M--	200	added ('OK')	image/x-icon	etag:%22b576b4e43baf48cc573c336852cee6c2%22	https://f0c22.yjx2012.com/favicon.ico	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/favicon.ico	(from https://f0c22.yjx2012.com/)
12:40:55	91460/91460	---MCZ	200	added ('OK')	text/javascript	etag:%22837c0df77fd5009c9e46d446188ecfd0%22	https://f0c22.yjx2012.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://f0c22.yjx2012.com/)
12:41:01	868/868	---M--	200	added ('OK')	image/svg+xml	etag:%22b78bf378a7e7d75d474492f68a6fbd38%22	https://f0c22.yjx2012.com/wave.svg	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/wave.svg	(from https://f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css)
12:41:01	659079/659079	---M--	200	added ('OK')	image/png	etag:%22cf8105c35829e2d32946f801e5d36d75%22	https://f0c22.yjx2012.com/_next/static/media/main_bg.5d5bfa7d.png	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/media/main_bg.5d5bfa7d.png	(from https://f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css)
12:41:01	659079/659079	---M--	200	added ('OK')	image/png	etag:%22cf8105c35829e2d32946f801e5d36d75%22	https://f0c22.yjx2012.com/_next/static/media/dark_bg.5d5bfa7d.png	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/media/dark_bg.5d5bfa7d.png	(from https://f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css)
12:41:06	4833/4833	---M--	200	added ('OK')	image/png	etag:%22db065c5f7daa72195551a04d95503c10%22	https://f0c22.yjx2012.com/_next/static/media/modal_header_bg.b361db48.png	C:/My%20Web%20Sites/DF-MS01%20Pro%20driver/f0c22.yjx2012.com/_next/static/media/modal_header_bg.b361db48.png	(from https://f0c22.yjx2012.com/_next/static/css/c850c042a289a7e6.css)
